Circuit,Class,Constructor,Country,Rider,Season,Class_Clean,Country_Full
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Red Bull Ring - Spielberg,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Red Bull Ring - Spielberg,Moto3™,KTM,IT,Marco Bezzecchi,2018,Moto3™,ITALY
Red Bull Ring - Spielberg,MotoGP™,Ducati,ES,Jorge Lorenzo,2018,MotoGP,SPAIN
Automotodrom Brno,MotoGP™,Ducati,IT,Andrea Dovizioso,2018,MotoGP,ITALY
Automotodrom Brno,Moto2™,KTM,PT,Miguel Oliveira,2018,Moto2™,PORTUGAL
Automotodrom Brno,Moto3™,Honda,IT,Fabio Di Giannantonio,2018,Moto3™,ITALY
Sachsenring,Moto2™,KTM,ZA,Brad Binder,2018,Moto2™,SOUTH AFRICA
Sachsenring,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
Sachsenring,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
TT Circuit Assen,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
TT Circuit Assen,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
TT Circuit Assen,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Circuit de Barcelona-Catalunya,MotoGP™,Ducati,ES,Jorge Lorenzo,2018,MotoGP,SPAIN
Circuit de Barcelona-Catalunya,Moto3™,Honda,IT,Enea Bastianini,2018,Moto3™,ITALY
Circuit de Barcelona-Catalunya,Moto2™,Speed Up,FR,Fabio Quartararo,2018,Moto2™,FRANCE
Autodromo Internazionale del Mugello,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
Autodromo Internazionale del Mugello,MotoGP™,Ducati,ES,Jorge Lorenzo,2018,MotoGP,SPAIN
Autodromo Internazionale del Mugello,Moto2™,KTM,PT,Miguel Oliveira,2018,Moto2™,PORTUGAL
Le Mans,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Le Mans,Moto3™,KTM,ES,Albert Arenas,2018,Moto3™,SPAIN
Le Mans,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Circuito de Jerez - Angel Nieto,Moto3™,KTM,DE,Philipp Oettl,2018,Moto3™,GERMANY
Circuito de Jerez - Angel Nieto,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Circuito de Jerez - Angel Nieto,Moto2™,Kalex,IT,Lorenzo Baldassarri,2018,Moto2™,ITALY
Circuit Of The Americas,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Circuit Of The Americas,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Circuit Of The Americas,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
Termas de Río Hondo,MotoGP™,Honda,GB,Cal Crutchlow,2018,MotoGP,GREAT BRITAIN
Termas de Río Hondo,Moto3™,KTM,IT,Marco Bezzecchi,2018,Moto3™,ITALY
Termas de Río Hondo,Moto2™,Kalex,IT,Mattia Pasini,2018,Moto2™,ITALY
Lusail International Circuit,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Lusail International Circuit,MotoGP™,Ducati,IT,Andrea Dovizioso,2018,MotoGP,ITALY
Lusail International Circuit,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
Circuit Ricardo Tormo,Moto3™,Honda,ES,Jorge Martin,2017,Moto3™,SPAIN
Circuit Ricardo Tormo,MotoGP™,Honda,ES,Dani Pedrosa,2017,MotoGP,SPAIN
Circuit Ricardo Tormo,Moto2™,KTM,PT,Miguel Oliveira,2017,Moto2™,PORTUGAL
Sepang International Circuit,Moto2™,KTM,PT,Miguel Oliveira,2017,Moto2™,PORTUGAL
Sepang International Circuit,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Sepang International Circuit,MotoGP™,Ducati,IT,Andrea Dovizioso,2017,MotoGP,ITALY
Phillip Island,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Phillip Island,Moto2™,KTM,PT,Miguel Oliveira,2017,Moto2™,PORTUGAL
Phillip Island,MotoGP™,Honda,ES,Marc Marquez,2017,MotoGP,SPAIN
Mobility Resort Motegi,Moto3™,Honda,IT,Romano Fenati,2017,Moto3™,ITALY
Mobility Resort Motegi,Moto2™,Kalex,ES,Alex Marquez,2017,Moto2™,SPAIN
Mobility Resort Motegi,MotoGP™,Ducati,IT,Andrea Dovizioso,2017,MotoGP,ITALY
MotorLand Aragón,Moto2™,Kalex,IT,Franco Morbidelli,2017,Moto2™,ITALY
MotorLand Aragón,MotoGP™,Honda,ES,Marc Marquez,2017,MotoGP,SPAIN
MotorLand Aragón,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Misano World Circuit Marco Simoncelli,Moto3™,Honda,IT,Romano Fenati,2017,Moto3™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Honda,ES,Marc Marquez,2017,MotoGP,SPAIN
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,CH,Thomas Luthi,2017,Moto2™,SWITZERLAND
Silverstone Circuit,MotoGP™,Ducati,IT,Andrea Dovizioso,2017,MotoGP,ITALY
Silverstone Circuit,Moto3™,Honda,ES,Aron Canet,2017,Moto3™,SPAIN
Silverstone Circuit,Moto2™,Kalex,JP,Takaaki Nakagami,2017,Moto2™,JAPAN
Red Bull Ring - Spielberg,MotoGP™,Ducati,IT,Andrea Dovizioso,2017,MotoGP,ITALY
Red Bull Ring - Spielberg,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Red Bull Ring - Spielberg,Moto2™,Kalex,IT,Franco Morbidelli,2017,Moto2™,ITALY
Automotodrom Brno,MotoGP™,Honda,ES,Marc Marquez,2017,MotoGP,SPAIN
Automotodrom Brno,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Automotodrom Brno,Moto2™,Kalex,CH,Thomas Luthi,2017,Moto2™,SWITZERLAND
Sachsenring,Moto3™,Honda,ES,Joan Mir,2017,Moto3™,SPAIN
Sachsenring,Moto2™,Kalex,IT,Franco Morbidelli,2017,Moto2™,ITALY
Sachsenring,MotoGP™,Honda,ES,Marc Marquez,2017,MotoGP,SPAIN
TT Circuit Assen,Moto2™,Kalex,IT,Franco Morbidelli,2017,Moto2™,ITALY
